Place,Bib,Name,Division,Division Place,Wave,Swim,T1,Bike,T2,Run,Chip Time,Clock Time
141,210,K Kim SMITH,F 25-29,3,Wave 3,19:43,2:51,30:16,0:57,24:03,1:17:52,1:25:54
142,372,A Amos BENHORIN,M 70-74,1,Wave 4,19:49,2:04,25:07,1:34,29:20,1:17:57,1:31:05
143,92,M Matt HURD,M 40-44,12,Wave 1,22:09,2:59,25:06,1:37,26:06,1:17:58,1:17:58
144,356,S Stephen ALBRIGHT,M 65-69,4,Wave 4,18:36,3:38,27:29,2:08,26:10,1:18:03,1:31:11
145,232,E Erin COUTURE,F 35-39,4,Wave 3,24:10,3:04,25:43,1:36,23:29,1:18:05,1:26:07
146,45,J Joseph ANDERSON,M 30-34,9,Wave 1,18:15,3:31,31:13,1:02,24:08,1:18:12,1:18:12
147,317,D Dan MCDONAGH,M 55-59,10,Wave 4,24:03,3:32,26:01,1:38,23:02,1:18:18,1:31:26
148,116,J Joseph LEDERMAN,M 14-19,11,Wave 2,21:52,2:06,26:12,1:37,26:40,1:18:29,1:22:28
149,61,D Doug LANCEY,M 35-39,11,Wave 1,20:57,3:03,26:51,0:58,26:38,1:18:29,1:18:29
150,454,T Trent HAMPTON,M Challenged,1,Wave 1,25:21,4:35,25:19,2:13,21:02,1:18:32,1:18:32
151,314,R Rich TANTONE,M 55-59,11,Wave 4,21:21,2:06,26:53,1:35,26:36,1:18:34,1:31:42
152,274,B Bevinn ROMAINE,F 55-59,7,Wave 3,18:59,2:46,26:54,1:33,28:32,1:18:46,1:26:48
153,320,K Kieran GIBBONS,M 55-59,12,Wave 4,24:55,2:25,26:08,1:11,24:08,1:18:48,1:31:56
154,193,K Kelly ELNICK,F 30-34,5,Wave 3,20:25,2:25,27:54,1:05,26:59,1:18:50,1:26:53
155,134,M Mackinley JENSEN,M 25-29,10,Wave 2,25:32,1:43,25:00,1:18,25:16,1:18:50,1:22:50
156,442,K Ken LARSEN,M 55-59,13,Wave 4,20:53,2:28,24:34,1:17,29:51,1:19:06,1:32:14
157,438,H Howard GESCHWIND,M 50-54,12,Wave 2,21:32,2:46,26:38,1:47,26:29,1:19:13,1:23:13
158,233,N Naomi LEVIN,F 35-39,5,Wave 3,20:39,2:59,26:50,2:15,26:28,1:19:13,1:27:16
159,29,M Myles RUSH,M 50-54,13,Wave 1,18:57,3:55,25:34,2:10,28:43,1:19:21,1:19:21
160,303,D Dennis JAMIESON,M 55-59,14,Wave 4,20:05,1:43,27:43,1:18,28:32,1:19:22,1:32:31
161,459,I Irwin RAMIREZ,M 35-39,12,Wave 4,26:54,2:31,25:52,1:26,22:42,1:19:26,1:32:35
162,418,S Stephanie CHOI,F 30-34,6,Wave 4,26:54,2:31,25:52,1:26,22:42,1:19:27,1:32:35
163,42,M Mark DOURMASHKIN,M 30-34,10,Wave 1,20:32,4:49,28:46,0:54,24:26,1:19:28,1:19:28
164,443,A Atilla OZTURK,M 60-64,9,Wave 4,24:09,1:38,23:37,1:14,28:49,1:19:30,1:32:38
165,367,M Michael PITZER,M 65-69,5,Wave 4,24:01,3:50,24:46,0:51,26:01,1:19:30,1:32:39
166,319,T Thomas HERBERT,M 55-59,15,Wave 4,15:57,2:29,28:52,1:39,30:33,1:19:32,1:32:41
167,631,K Kathryn DENNIS,F 40-44,2,Wave 3,17:29,3:34,29:32,1:55,27:09,1:19:41,1:27:43
168,194,J Jennifer KRALJIC,F 40-44,3,Wave 3,20:57,2:29,27:05,2:10,26:58,1:19:41,1:27:44
169,279,S Sharon NEVINS,F 55-59,8,Wave 3,18:32,2:35,28:13,2:18,28:05,1:19:44,1:27:47
170,78,R Robert DOOLEY,M 40-44,13,Wave 1,20:40,2:24,26:35,1:30,28:35,1:19:45,1:19:45
171,83,J John ZUHOSKI,M 40-44,14,Wave 1,20:13,1:30,30:09,1:08,26:46,1:19:48,1:19:48
172,146,M Mathew SULLIVAN,M 45-49,7,Wave 2,18:55,3:38,26:22,3:17,27:45,1:19:59,1:23:59
173,368,B Bill EICKELBERG,M 65-69,6,Wave 4,17:26,2:14,29:26,1:41,29:11,1:20:01,1:33:09
174,44,N Nicholas LUSSIER,M 30-34,11,Wave 1,21:49,2:04,28:10,1:02,26:54,1:20:02,1:20:02
175,121,A Aaron ZANGER,M 14-19,12,Wave 2,22:17,3:17,28:59,1:55,23:33,1:20:03,1:24:03
176,337,R Raymond CUSHMORE,M 60-64,10,Wave 4,21:44,4:26,25:32,1:41,26:48,1:20:14,1:33:22
177,385,D Dotty MAZZA,F 65-69,1,Wave 4,14:43,4:23,27:02,2:19,31:47,1:20:15,1:33:23
178,195,J Jacqueline SOBOTA,F 40-44,4,Wave 3,20:44,3:47,27:34,2:51,25:16,1:20:15,1:28:18
179,460,D Diego PEREZ,M 35-39,13,Wave 1,24:46,3:46,27:41,2:12,21:49,1:20:16,1:20:16
180,350,R Roger LEVIN,M 60-64,11,Wave 4,17:14,3:27,27:45,1:52,30:04,1:20:23,1:33:32
181,477,M Maggie DESMOND,F 30-34,7,Wave 3,20:00,2:52,26:31,1:19,30:05,1:20:50,1:28:52
182,209,A Amanda PULASKI,F 25-29,4,Wave 3,20:42,2:41,30:02,2:01,25:25,1:20:53,1:28:55
183,309,R Robert SHAW,M 55-59,16,Wave 4,22:57,3:14,26:22,1:39,26:47,1:21:02,1:34:11
184,125,D Dan OCONNOR,M 20-24,6,Wave 2,21:22,4:22,30:09,1:44,23:28,1:21:07,1:25:06
